customer_id,gender,age,region_circle,connection_type,plan_type,contract_type,base_plan_category,tenure_months,monthly_charges,total_charges,avg_data_gb_month,avg_voice_mins_month,sms_count_month,overage_charges,is_family_plan,is_multi_service,network_issues_3m,dropped_call_rate,avg_data_speed_mbps,num_complaints_3m,num_complaints_12m,call_center_interactions_3m,last_complaint_resolution_days,app_logins_30d,selfcare_transactions_30d,auto_pay_enrolled,late_payment_flag_3m,avg_payment_delay_days,arpu,segment_value,nps_score,service_rating_last_6m,received_competitor_offer_flag,retention_offer_accepted_flag,is_churn
100000,Female,23,West,4G,Postpaid,2 Year,Postpaid Platinum,84,1133.57,92927.66,10.69,453.0,102.0,0.0,1,0,1,0.035771761273449595,20.657627738831874,1,1,2,3.3,8,3,0,0,0.4,1133.57,High,13.0,3.2,0,0,0
100001,Male,72,West,4G,Prepaid,No Contract,Prepaid Unlimited,32,683.24,19368.9,34.65,797.0,29.0,169.54,0,1,3,0.015472565810774509,11.957034635754434,0,0,1,0.0,6,2,0,1,5.4,688.54,Medium,41.0,3.6,0,0,0
100002,Female,47,South,4G,Prepaid,No Contract,Prepaid Regular,119,307.04,36123.77,5.22,687.0,73.0,0.74,0,0,1,0.02885563431348382,21.12091111175078,1,3,2,5.4,5,3,1,0,0.0,307.05,Low,53.0,5.0,0,0,0
100003,Female,74,West,4G,Prepaid,No Contract,Prepaid Mini,73,213.82,16476.9,24.49,232.0,0.0,78.21,1,0,0,0.03366120965873663,16.733436804142407,0,1,0,0.0,7,5,1,0,0.0,214.89,Low,20.0,4.5,1,1,0
100004,Male,41,South,5G,Prepaid,No Contract,Prepaid Regular,92,383.17,37683.17,50.46,450.0,35.0,75.6,0,0,5,0.01333920726306281,8.692907480510078,0,0,0,0.0,6,4,0,0,0.5,383.99,Low,17.0,2.6,0,0,0
100005,Other,65,North,4G,Prepaid,No Contract,Prepaid Regular,41,361.02,13030.01,24.48,794.0,37.0,93.41,0,0,3,0.013208102838513792,15.711450681560244,1,1,1,2.3,6,1,1,0,1.1,363.3,Low,58.0,3.9,0,0,1
100006,Female,36,South,4G,Prepaid,No Contract,Prepaid Unlimited,79,639.62,48924.81,9.47,767.0,7.0,94.22,0,0,0,0.023314757087694607,23.94212090381889,3,4,3,3.7,5,1,0,0,0.0,640.81,Medium,-10.0,2.5,0,0,1
100007,Female,43,North,4G,Prepaid,No Contract,Prepaid Unlimited,79,705.94,47396.63,18.57,527.0,30.0,75.68,0,1,1,0.014404968791775623,12.376008376363572,1,1,1,0.8,11,3,1,1,4.6,706.9,Medium,45.0,4.6,0,0,0
100008,Male,37,East,4G,Postpaid,Month-to-Month,Postpaid Silver,72,528.47,36539.73,33.55,716.0,88.0,67.35,1,0,2,0.021038848998431676,22.36050190145563,1,1,2,1.5,7,2,0,0,0.0,529.41,Medium,7.0,4.1,0,0,1
100009,Male,49,West,5G,Prepaid,No Contract,Prepaid Regular,71,275.82,20050.36,24.55,30.0,23.0,104.54,1,0,1,0.019131979608288288,24.809139232821238,0,0,0,0.0,5,1,0,0,0.9,277.29,Low,36.0,3.2,0,1,1
100010,Male,30,North,4G,Postpaid,2 Year,Postpaid Gold,84,795.88,55962.35,13.23,609.0,102.0,133.48,0,1,3,0.02081493566121354,23.620871133054642,0,0,1,0.0,7,0,1,0,1.2,797.47,Medium,33.0,4.5,0,0,0
100011,Female,46,South,4G,Postpaid,Month-to-Month,Postpaid Platinum,119,1260.87,156766.88,22.17,684.0,71.0,14.55,0,0,2,0.02528468551221856,19.708951467888912,0,0,0,0.0,7,1,0,0,0.8,1260.99,High,11.0,5.0,1,0,1
100012,Female,65,West,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,104,398.62,44514.31,24.82,281.0,32.0,24.83,0,0,2,0.02488665429282772,14.52229129719359,1,1,1,1.2,11,3,0,0,0.3,398.86,Low,54.0,4.2,0,0,1
100013,Female,26,Metro,5G,Prepaid,No Contract,Prepaid Mini,38,210.89,8340.81,34.62,797.0,76.0,77.2,0,0,2,0.02709340815623519,17.553080302054646,0,1,0,0.0,15,4,0,0,0.0,212.92,Low,29.0,3.1,0,0,0
100014,Male,63,Metro,4G,Prepaid,No Contract,Prepaid Regular,106,360.73,33673.35,20.43,576.0,64.0,79.67,0,0,0,0.008052006858051743,18.028833733283353,0,0,0,0.0,15,3,0,1,3.7,361.48,Low,-14.0,2.8,0,0,0
100015,Male,66,South,4G,Postpaid,1 Year,Postpaid Silver,42,535.14,23072.4,26.89,463.0,99.0,77.08,0,1,2,0.015846187761144666,6.008542109450042,1,1,2,3.2,10,4,0,0,0.5,536.98,Medium,25.0,3.2,0,0,1
100016,Female,19,Metro,4G,Postpaid,Month-to-Month,Postpaid Silver,30,516.43,14252.89,15.09,566.0,20.0,11.37,1,1,1,0.03961636783265181,28.305313182614942,1,2,1,2.5,10,4,0,0,0.6,516.81,Medium,-22.0,3.7,0,0,1
100017,Male,56,North,4G,Prepaid,No Contract,Prepaid Unlimited,24,545.14,13511.59,30.77,30.0,81.0,49.53,0,1,3,0.024097937651599018,11.85297393345875,1,1,1,3.3,8,1,0,0,1.0,547.2,Medium,49.0,4.1,0,0,1
100018,Female,45,West,4G,Postpaid,Month-to-Month,Postpaid Gold,84,892.99,63878.49,14.51,783.0,77.0,44.63,0,0,3,0.037594503553223316,17.791021775143157,0,0,3,0.0,5,1,0,0,0.3,893.52,High,-54.0,4.5,0,0,0
100019,Female,54,North,4G,Prepaid,No Contract,Prepaid Mini,56,177.15,8879.53,22.72,907.0,84.0,35.5,1,0,0,0.027284140280230323,29.678512658775887,0,0,1,0.0,11,1,0,0,1.8,177.78,Low,-44.0,3.0,0,0,0
